,name,sum,max,min,average,zmax,zmin,sum1,sum2,sum3,sum4,sum5,avg1,avg2,avg3,avg4,avg5,type
0,20210611_002,241948.38461359486,13.725321841890006,-1.0413302257608679,4.838967692271968,3.430920645835742,-2.270316396461755,73228.50246824282,54853.6963503898,42107.06607215827,31001.23555322965,40757.88416957818,7.322850246824261,5.485369635038987,4.210706607215831,3.100123555322965,4.075788416957795,two peaks
1,20210614_001,-42796.962323420375,12.44734841356316,-4.755963628681219,-0.8559392464684152,5.991794534912025,-1.756569156177358,9848.955833778664,-17331.55009304852,-15710.089726494743,-28224.935970529594,8620.657632873432,0.9848955833778675,-1.7331550093048502,-1.5710089726494751,-2.822493597052964,0.862065763287347,two peaks
2,20210617_001,510265.10328539857,33.307618005279316,-4.0955617015745815,10.205302065707984,4.055160474407037,-2.510237400036181,98503.33865792099,86527.78287912169,83702.19266210237,91683.84783829752,149847.94124795723,9.850333865792066,8.652778287912124,8.37021926621024,9.168384783829733,14.984794124795753,two peaks
3,20210617_003,5209.991924692789,1.1228195402605015,-1.395759598082328,0.10419983849385503,3.2018880291401866,-4.714911910538896,146.39579808392074,1790.0235031592833,3045.182845024866,-61.837619015669766,290.2273974403604,0.014639579808392113,0.1790023503159286,0.3045182845024854,-0.006183761901567129,0.029022739744036095,no response
4,20210622_001,224482.12707321992,22.293987595447422,-3.409271162153368,4.489642541464401,2.4534535357058,-1.088476868742812,113502.39120647582,28105.030227912113,-10811.626220259199,-15593.980984958496,109280.31284404985,11.350239120647547,2.810503022791231,-1.0811626220259205,-1.55939809849585,10.928031284404998,two peaks
5,20210622_003,209274.89072499398,23.067906646436104,-3.9305525826949066,4.1854978144999055,2.4197920268004847,-1.0400767304130614,94937.0130718326,-3754.3023689965557,-13975.614744042483,6807.7934592925185,125260.00130690854,9.493701307183292,-0.3754302368996543,-1.3975614744042444,0.680779345929252,12.526000130690885,two peaks
6,20210716_001,-83493.01962858246,1.9025686466904344,-5.193351066079093,-1.669860392571655,2.647698314221247,-2.6114277467487303,-3369.628199706664,-15863.103708004583,-33088.07535438723,-13125.547046639998,-18046.665319844255,-0.336962819970664,-1.5863103708004616,-3.3088075354387283,-1.3125547046640025,-1.8046665319844177,no response
7,20210730_002,570594.1437164015,19.549039640584176,-6.095658317412335,11.411882874327938,1.1123088499552212,-2.393193785977388,65765.33696137667,148451.72835712638,172994.21675775267,175246.30713570377,8136.554504438633,6.576533696137665,14.845172835712633,17.29942167577521,17.524630713570314,0.8136554504438623,plateau
8,20210730_004,817999.1472573716,25.607480266657646,-1.8327004204000548,16.359982945147486,1.3337337103009899,-2.623866138249431,139052.19063787223,178760.18472110873,210954.00503401403,218005.27022256964,71227.49664181113,13.905219063787168,17.876018472110857,21.09540050340141,21.800527022256848,7.122749664181149,plateau
9,20210805_002,-20121.57042929168,1.2462826060426007,-1.7750822868159213,-0.40243140858583837,2.5422970656628037,-2.1166110489394128,-8066.6994407631355,-9270.242698727034,-83.3587005806534,-2611.7276182536866,-89.54197096739338,-0.8066699440763138,-0.9270242698727051,-0.008335870058065518,-0.26117276182536814,-0.008954197096739426,no response
10,20210809_003,760836.7708350513,22.855683146896688,-2.560634486641526,15.216735416700994,1.1152012836107101,-2.5952979959612974,139112.98110850703,193389.89298259318,187170.015669516,197387.70148080573,43776.17959362544,13.911298110850696,19.33898929825946,18.71700156695163,19.738770148080615,4.3776179593625635,plateau
11,20210812_003,12065.70955133027,8.506122205511684,-6.640308394968933,0.24131419102660528,2.88765842500349,-2.4043843974737977,4338.703267677545,16928.565404258832,8376.280286822706,-8711.855390726623,-8865.984016702321,0.4338703267677543,1.6928565404258937,0.837628028682271,-0.8711855390726645,-0.8865984016702272,no response
