date,#,filename,path,type,CWT,FIR,LabView ver,Py_version,project,hard_exclude,mouse_id,patch_site,best_frequency,tuning,tuning_from,need_checking,intrinsic_check,tuning_check,final_inclusion,fs_neuron
20210730,4,20210730_004,E:\in-vivo_patch\20210730/20210730_004_2021_07_30_14_17_03.tdms,Log sFM,no,20210727,1.1,1,Ic,,,,,,,,,,,
20210804,1,20210804_001,E:\in-vivo_patch\20210804/20210804_001_2021_08_04_14_41_00.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210805,1,20210805_001,E:\in-vivo_patch\20210805/20210805_001_2021_08_05_12_41_04.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210805,2,20210805_002,E:\in-vivo_patch\20210805/20210805_002_2021_08_05_12_56_10.tdms,Log sFM,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210806,1,20210806_001,E:\in-vivo_patch\20210806/20210806_001_2021_08_06_10_43_50.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210806,2,20210806_002,E:\in-vivo_patch\20210806/20210806_002_2021_08_06_10_48_50.tdms,Log sFM,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210809,1,20210809_001,E:\in-vivo_patch\20210809/20210809_001_2021_08_09_11_36_06.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210809,2,20210809_002,E:\in-vivo_patch\20210809/20210809_002_2021_08_09_11_56_13.tdms,Pure Tones,no,20210727,1.1,1,Ic,,,,,,,,,,,
20210809,3,20210809_003,E:\in-vivo_patch\20210809/20210809_003_2021_08_09_12_01_14.tdms,Log sFM,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210811,1,20210811_001,E:\in-vivo_patch\20210811/20210811_001_2021_08_11_11_05_14.tdms,Pure Tones,no,20210727,1.1,1,Ic,,,,,,,,,,,
20210812,1,20210812_001,E:\in-vivo_patch\20210812/20210812_001_2021_08_12_11_31_55.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210812,2,20210812_002,E:\in-vivo_patch\20210812/20210812_002_2021_08_12_12_36_30.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210812,3,20210812_003,E:\in-vivo_patch\20210812/20210812_003_2021_08_12_12_41_26.tdms,Log sFM,no,20210727,1.1,1,Ic,,,,,,,,,,,
20210812,4,20210812_004,E:\in-vivo_patch\20210812/20210812_004_2021_08_12_12_58_23.tdms,Pure Tones,no,20210727,1.1,1,Ic,exclude,,,,,,,,,,
20210812,5,20210812_005,E:\in-vivo_patch\20210812/20210812_005_2021_08_12_13_04_08.tdms,SAM,no,20210727,1.1,1,Ic,,,,,,,,,,,
20211018,1,20211018_001,E:\in-vivo_patch\20211018/20211018_001_2021_10_18_11_52_22.tdms,Pure Tones,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20211027,1,20211027_001,E:\in-vivo_patch\20211027/20211027_001_.tdms,Pure Tones,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20211027,2,20211027_002,E:\in-vivo_patch\20211027/20211027_002_.tdms,Log sFM,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20211027,3,20211027_003,E:\in-vivo_patch\20211027/20211027_003_.tdms,Pure Tones,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20211027,4,20211027_004,E:\in-vivo_patch\20211027/20211027_004_.tdms,Log sFM,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20211028,1,20211028_001,E:\in-vivo_patch\20211028/20211028_001_.tdms,Pure Tones,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20211028,2,20211028_002,E:\in-vivo_patch\20211028/20211028_002_.tdms,Log sFM,no,20211012,1.1,2,Ic,exclude,,,,,,,,,,
20220211,1,20220211_001,E:\in-vivo_patch\20220211/20220211_001_.tdms,Log sFM,no,20220126,1.1,2,Ic,exclude,,,,,,,,,,
20220216,1,20220216_001,E:\in-vivo_patch\20220216/20220216_001_.tdms,Log sFM,no,20220215,1.1,2,Ic,,,,,,,,,,,
20220216,2,20220216_002,E:\in-vivo_patch\20220216/20220216_002_.tdms,Pure Tones,no,20220215,1.1,2,Ic,,,,,,,,,,,
20220216,3,20220216_003,E:\in-vivo_patch\20220216/20220216_003_.tdms,Log sFM,no,20220215,1.1,2,Ic,,,,,,,,,,,
20220216,4,20220216_004,E:\in-vivo_patch\20220216/20220216_004_.tdms,Log sFM,no,20220215,1.1,2,Ic,,,,,,,,,,,
20220304,1,20220304_001,E:\in-vivo_patch\20220304/20220304_001_.tdms,Pure Tones,no,20220215,1.1,2,Ic,exclude,,,,,,,,,,
